Current Offset,Sample Number,Title,Trigger Offset,Time End,Time Start,U Sec,Time Of Threshold
6675,16384,wf_1828,7873,1662555487.282739,1662555487.2826078,282607,672
5732,16384,wf_1829,6930,1662555487.306929,1662555487.306798,306797,512
3961,16384,wf_1830,5159,1662555487.3181324,1662555487.3180013,318001,664
7752,16384,wf_1831,8950,1662555487.3225193,1662555487.3223882,322388,520
7891,16384,wf_1833,9089,1662555487.3467515,1662555487.3466203,346620,608
2650,16384,wf_1834,3848,1662555487.3630307,1662555487.3628995,362899,536
4119,16384,wf_1835,5317,1662555487.3788514,1662555487.3787203,378720,432
11171,16384,wf_1836,12369,1662555487.386308,1662555487.3861768,386176,488
1102,16384,wf_1837,2300,1662555487.3924644,1662555487.3923333,392333,440
2935,16384,wf_1838,4133,1662555487.4048107,1662555487.4046795,404679,552
5153,16384,wf_1839,6351,1662555487.4198284,1662555487.4196973,419697,424
9681,16384,wf_1840,10879,1662555487.4242427,1662555487.4241116,424111,856
9045,16384,wf_1841,10243,1662555487.4402153,1662555487.4400842,440084,584
2736,16384,wf_1842,3934,1662555487.4603868,1662555487.4602556,460255,632
12856,16384,wf_1843,14054,1662555487.4674861,1662555487.467355,467355,752
7646,16384,wf_1844,8844,1662555487.4782326,1662555487.4781015,478101,632
5712,16384,wf_1845,6910,1662555487.4858665,1662555487.4857354,485735,512
13784,16384,wf_1846,14982,1662555487.5016944,1662555487.5015633,501563,640
1031,16384,wf_1847,2229,1662555487.5109615,1662555487.5108304,510830,672
422,16384,wf_1848,1620,1662555487.517157,1662555487.517026,517025,712
14808,16384,wf_1849,16006,1662555487.5286381,1662555487.528507,528506,928
5765,16384,wf_1850,6963,1662555487.5350747,1662555487.5349436,534943,944
7257,16384,wf_1851,8455,1662555487.5393355,1662555487.5392044,539204,640
9951,16384,wf_1852,11149,1662555487.5464814,1662555487.5463502,546350,608
9981,16384,wf_1853,11179,1662555487.5598814,1662555487.5597503,559750,848
6233,16384,wf_1854,7431,1662555487.571029,1662555487.5708978,570897,944
13298,16384,wf_1855,14496,1662555487.5971053,1662555487.5969741,596974,672
10998,16384,wf_1856,12196,1662555487.6109345,1662555487.6108034,610803,1000
14932,16384,wf_1857,16130,1662555487.6191382,1662555487.619007,619007,560
6679,16384,wf_1858,7877,1662555487.6353652,1662555487.635234,635234,576
4346,16384,wf_1859,5544,1662555487.6567433,1662555487.6566122,656612,496
14815,16384,wf_1860,16013,1662555487.664589,1662555487.6644578,664457,968
4210,16384,wf_1861,5408,1662555487.6700616,1662555487.6699305,669930,672
9892,16384,wf_1862,11090,1662555487.6737223,1662555487.6735911,673591,568
6522,16384,wf_1863,7720,1662555487.6820536,1662555487.6819224,681922,536
12215,16384,wf_1864,13413,1662555487.6919146,1662555487.6917834,691783,888
1786,16384,wf_1865,2984,1662555487.6956081,1662555487.695477,695476,1200
10840,16384,wf_1866,12038,1662555487.7076564,1662555487.7075253,707525,576
14119,16384,wf_1867,15317,1662555487.718893,1662555487.718762,718761,664
980,16384,wf_1868,2178,1662555487.7256627,1662555487.7255316,725531,504
654,16384,wf_1869,1852,1662555487.7507286,1662555487.7505975,750597,744
4833,16384,wf_1870,6031,1662555487.76628,1662555487.7661488,766148,560
5047,16384,wf_1871,6245,1662555487.7727616,1662555487.7726305,772630,672
397,16384,wf_1872,1595,1662555487.776907,1662555487.7767758,776775,712
3585,16384,wf_1873,4783,1662555487.78566,1662555487.785529,785528,528
1452,16384,wf_1874,2650,1662555487.790862,1662555487.790731,790730,784
7830,16384,wf_1875,9028,1662555487.8144422,1662555487.814311,814311,576
15100,16384,wf_1876,16298,1662555487.8191197,1662555487.8189886,818988,680
14427,16384,wf_1877,15625,1662555487.8241231,1662555487.823992,823992,544
4990,16384,wf_1878,6188,1662555487.8662665,1662555487.8661354,866135,552
4990,16384,wf_1878,6188,1662555487.8662665,1662555487.8661354,866135,552
