Max,Time,Integral,Time Of Threshold,INTNS
[48.95617141],1662555468.2833476,[5505.92113295],528,[5505.92113295]
[661.57978269],1662555468.3017752,[46691.97900134],2224,[46691.97900134]
[62.14137468],1662555468.3053212,[6571.35880845],656,[6571.35880845]
[41.38688805],1662555468.3256524,[5004.15089733],432,[5004.15089733]
[58.23464778],1662555468.3439796,[6338.17604688],680,[6338.17604688]
[145.03723599],1662555468.3539457,[11436.69881577],1064,[11436.69881577]
[57.74630692],1662555468.3583589,[6386.399707],664,[6386.399707]
[66.29227201],1662555468.3623533,[6720.18068612],632,[6720.18068612]
[66.29227201],1662555468.3623533,[6720.18068612],632,[6720.18068612]
[132.09620315],1662555468.3689063,[10512.14747894],1008,[10512.14747894]
[62.75180076],1662555468.3738134,[6164.44878525],624,[6164.44878525]
[127.57905018],1662555468.3792067,[10066.90269808],904,[10066.90269808]
[93.27310463],1662555468.3935015,[8232.93859114],800,[8232.93859114]
[61.28677817],1662555468.401417,[6553.29019656],704,[6553.29019656]
[54.08375046],1662555468.4104044,[5608.10645831],504,[5608.10645831]
[84.3608839],1662555468.4143026,[7671.22451471],752,[7671.22451471]
[135.88084483],1662555468.4206643,[10177.02356245],824,[10177.02356245]
[54.81626175],1662555468.4323738,[5896.96007813],592,[5896.96007813]
[45.41570016],1662555468.4446354,[5532.53570993],528,[5532.53570993]
[83.50628739],1662555468.4557452,[7496.64265657],712,[7496.64265657]
[45.53778537],1662555468.4708123,[5120.74227811],456,[5120.74227811]
[52.8628983],1662555468.4820564,[5847.027225],520,[5847.027225]
[39.55560982],1662555468.5003893,[4906.9710658],432,[4906.9710658]
[49.93285313],1662555468.5129142,[5526.43144915],504,[5526.43144915]
[99.25528019],1662555468.5272381,[8735.44133805],936,[8735.44133805]
[47.85740447],1662555468.533838,[5506.65364424],560,[5506.65364424]
[398.73031376],1662555468.5457478,[26392.50396777],1560,[26392.50396777]
[261.38444634],1662555468.591257,[18130.38701013],1264,[18130.38701013]
[48.1015749],1662555468.6101933,[5560.85947992],528,[5560.85947992]
[43.3402515],1662555468.6170642,[5292.51617629],480,[5292.51617629]
[110.85337566],1662555468.6219256,[8786.71712856],760,[8786.71712856]
[62.99597119],1662555468.6256883,[6629.22720059],616,[6629.22720059]
[52.61872787],1662555468.629756,[5616.40825296],496,[5616.40825296]
[106.33622268],1662555468.64677,[8409.84006837],784,[8409.84006837]
[239.04285191],1662555468.6550438,[14678.42754242],904,[14678.42754242]
[105.23745574],1662555468.6651664,[9071.29776584],896,[9071.29776584]
[78.25662312],1662555468.6802144,[7107.80124527],656,[7107.80124527]
[42.36356977],1662555468.6886292,[5280.91808082],536,[5280.91808082]
[45.41570016],1662555468.705647,[5637.77316567],560,[5637.77316567]
[41.63105848],1662555468.715639,[5115.73678428],496,[5115.73678428]
[76.79160054],1662555468.7220635,[6890.3674765],720,[6890.3674765]
[77.64619705],1662555468.7261996,[7177.87815895],736,[7177.87815895]
[235.74655109],1662555468.7435515,[15912.34281528],1088,[15912.34281528]
[111.70797216],1662555468.7559464,[8846.66096936],824,[8846.66096936]
[41.38688805],1662555468.7827866,[5135.88084483],504,[5135.88084483]
[189.47625443],1662555468.7909803,[13852.76523013],1216,[13852.76523013]
[45.04944451],1662555468.807395,[5468.4409718],544,[5468.4409718]
[57.38005128],1662555468.8445268,[6212.06201929],624,[6212.06201929]
[50.54327921],1662555468.8478768,[5987.05896716],624,[5987.05896716]
[205.8356733],1662555468.860632,[14352.21584666],1112,[14352.21584666]
[75.20449274],1662555468.865979,[7413.99096569],800,[7413.99096569]
[64.46099377],1662555468.8710186,[6295.81247711],616,[6295.81247711]
[53.5954096],1662555468.8756757,[5677.4508607],544,[5677.4508607]
[67.14686851],1662555468.8899162,[6362.95934562],632,[6362.95934562]
[40.77646197],1662555468.8952389,[5149.55438896],464,[5149.55438896]
[73.86155537],1662555468.899238,[6986.81479673],688,[6986.81479673]
[114.02759126],1662555468.9033859,[9036.86973507],864,[9036.86973507]
[44.07276279],1662555468.9100745,[5508.72909291],520,[5508.72909291]
[125.99194238],1662555468.9137435,[10026.98083262],936,[10026.98083262]
[49.6886827],1662555468.919722,[5688.80478574],536,[5688.80478574]
[77.03577097],1662555468.9243062,[7040.04395068],656,[7040.04395068]
[45.04944451],1662555468.9434144,[5284.45855207],496,[5284.45855207]
[38.09058723],1662555468.9476662,[4923.57465511],432,[4923.57465511]
[82.16335002],1662555468.961553,[7747.40568917],784,[7747.40568917]
[136.85752655],1662555468.993795,[10775.36320352],1016,[10775.36320352]
[46.39238188],1662555469.0002947,[5596.14210719],576,[5596.14210719]
[76.30325968],1662555469.0070539,[6700.52496643],616,[6700.52496643]
[47.12489318],1662555469.021023,[5481.74826029],528,[5481.74826029]
[65.92601636],1662555469.0334122,[6629.59345623],648,[6629.59345623]
[71.41985106],1662555469.0509193,[6624.95421804],648,[6624.95421804]
[915.6391161],1662555469.0682774,[75530.82651691],3208,[75530.82651691]
[56.15919912],1662555469.0719388,[6033.57343426],584,[6033.57343426]
[41.87522891],1662555469.0775533,[5365.40104993],552,[5365.40104993]
[67.63520938],1662555469.0860374,[6754.97497253],608,[6754.97497253]
[45.17152973],1662555469.1180646,[5376.87706019],496,[5376.87706019]
[88.26761079],1662555469.127318,[7949.21255036],792,[7949.21255036]
[51.03162007],1662555469.1387079,[5787.69381028],608,[5787.69381028]
[42.24148456],1662555469.1488416,[5120.25393725],464,[5120.25393725]
[68.6118911],1662555469.1579764,[6442.92516176],616,[6442.92516176]
[72.518618],1662555469.162318,[6749.84739348],680,[6749.84739348]
[60.18801123],1662555469.182633,[6157.00158711],576,[6157.00158711]
[169.5763643],1662555469.191817,[12636.55231351],1168,[12636.55231351]
[54.08375046],1662555469.1969337,[6177.75607374],664,[6177.75607374]
[65.92601636],1662555469.2006571,[6464.5342449],632,[6464.5342449]
[156.87950189],1662555469.2096987,[11053.22915395],952,[11053.22915395]
[41.87522891],1662555469.2133687,[4989.98901233],416,[4989.98901233]
[41.63105848],1662555469.2181473,[5233.426932],464,[5233.426932]
[70.44316933],1662555469.235462,[6390.06226346],648,[6390.06226346]
[77.52411183],1662555469.2560627,[6825.05188622],624,[6825.05188622]
[104.01660359],1662555469.2611926,[8844.34135026],800,[8844.34135026]
[45.17152973],1662555469.2698061,[5395.18984251],528,[5395.18984251]
[93.51727506],1662555469.2847772,[8357.83176657],848,[8357.83176657]
[56.64753998],1662555469.3006563,[5893.17543645],528,[5893.17543645]
[57.13588084],1662555469.3161097,[6313.63691857],640,[6313.63691857]
[129.16615798],1662555469.3372734,[10480.77157856],1056,[10480.77157856]
[59.21132951],1662555469.3416715,[6198.26638994],696,[6198.26638994]
[55.67085826],1662555469.3596814,[5895.25088512],520,[5895.25088512]
[79.84373092],1662555469.3758314,[7141.61884996],712,[7141.61884996]
[114.39384691],1662555469.409976,[9556.95275302],864,[9556.95275302]
[89.24429252],1662555469.416057,[8175.68062508],872,[8175.68062508]
[64.7051642],1662555469.4196439,[5764.49761934],536,[5764.49761934]
[41.87522891],1662555469.4252043,[5264.31449151],488,[5264.31449151]
[40.89854719],1662555469.4498134,[5230.49688683],480,[5230.49688683]
[141.86302039],1662555469.461708,[10319.13075327],888,[10319.13075327]
[45.29361494],1662555469.4702232,[5138.81089],448,[5138.81089]
[99.74362105],1662555469.4778676,[8401.90452936],744,[8401.90452936]
[56.52545477],1662555469.4951048,[6335.24600171],712,[6335.24600171]
[66.78061287],1662555469.5060425,[6880.23440361],672,[6880.23440361]
[50.78744964],1662555469.5170357,[5774.99694787],600,[5774.99694787]
[62.87388597],1662555469.5388641,[6267.48870712],560,[6267.48870712]
[46.75863753],1662555469.5552382,[5405.56708583],496,[5405.56708583]
[70.68733976],1662555469.565362,[7349.77414235],792,[7349.77414235]
[69.22231718],1662555469.5688746,[6772.43315834],672,[6772.43315834]
[43.3402515],1662555469.573221,[5311.19521426],488,[5311.19521426]
[50.90953486],1662555469.58615,[5756.07373947],584,[5756.07373947]
[87.65718471],1662555469.605359,[8273.71505311],856,[8273.71505311]
[56.89171041],1662555469.6205046,[6025.75998047],608,[6025.75998047]
[51.88621658],1662555469.6441312,[5710.29178366],520,[5710.29178366]
[43.46233671],1662555469.6529057,[5504.08985472],520,[5504.08985472]
[82.40752045],1662555469.6887264,[7393.11439385],680,[7393.11439385]
[72.03027713],1662555469.6945252,[6964.47320229],712,[6964.47320229]
[68.85606153],1662555469.703853,[6759.98046637],696,[6759.98046637]
[58.23464778],1662555469.7096407,[6484.06787938],688,[6484.06787938]
