Max,Time,Integral,Time Of Threshold,INTNS
[44.80527408],1662555577.7081838,[5496.27640093],552,[5496.27640093]
[51.39787572],1662555577.7153625,[6018.19069711],608,[6018.19069711]
[62.75180076],1662555577.7518513,[6361.25015261],656,[6361.25015261]
[39.18935417],1662555577.755663,[5133.07288487],480,[5133.07288487]
[52.00830179],1662555577.7658546,[5923.69674032],560,[5923.69674032]
[41.0206324],1662555577.7731225,[5081.67500916],448,[5081.67500916]
[64.94933464],1662555577.7763662,[6592.11329508],696,[6592.11329508]
[235.0140398],1662555577.7798665,[16427.17616897],1240,[16427.17616897]
[103.52826273],1662555577.8442845,[8492.1255036],752,[8492.1255036]
[50.54327921],1662555577.8600051,[5236.84531803],432,[5236.84531803]
[38.70101331],1662555577.864964,[4844.21926505],440,[4844.21926505]
[42.36356977],1662555577.8684857,[5579.53851789],576,[5579.53851789]
[67.51312416],1662555577.8722274,[6317.29947503],552,[6317.29947503]
[56.03711391],1662555577.8876584,[6016.96984495],648,[6016.96984495]
[85.82590648],1662555577.9258268,[7871.93260896],744,[7871.93260896]
[59.57758515],1662555577.9530969,[6431.20498108],648,[6431.20498108]
[118.17848859],1662555577.9591649,[9883.77487486],816,[9883.77487486]
[52.8628983],1662555577.973161,[5830.4236357],536,[5830.4236357]
[71.54193627],1662555577.983062,[7033.81760469],688,[7033.81760469]
[52.00830179],1662555577.9904265,[5546.33133927],520,[5546.33133927]
[66.17018679],1662555578.0034833,[5851.05603711],512,[5851.05603711]
[83.26211696],1662555578.0099854,[7685.87474057],752,[7685.87474057]
[69.95482847],1662555578.035462,[6919.42375778],752,[6919.42375778]
[68.12355024],1662555578.0656235,[6688.56061531],664,[6688.56061531]
[77.64619705],1662555578.0958312,[7426.19948724],744,[7426.19948724]
[48.58991576],1662555578.1052272,[5381.27212795],512,[5381.27212795]
[129.41032841],1662555578.1111321,[10252.59431083],984,[10252.59431083]
[47.85740447],1662555578.135798,[5449.15150775],544,[5449.15150775]
[208.64363326],1662555578.1471798,[14323.03748016],1024,[14323.03748016]
[85.21548041],1662555578.1617975,[7635.57563179],784,[7635.57563179]
[64.58307899],1662555578.1750164,[6753.38786473],712,[6753.38786473]
[101.08655842],1662555578.18387,[8250.39677695],744,[8250.39677695]
[348.30911977],1662555578.1889184,[23294.10328409],1408,[23294.10328409]
[98.76693932],1662555578.2219918,[8656.81845928],832,[8656.81845928]
[43.95067757],1662555578.2258859,[5394.94567208],520,[5394.94567208]
[72.88487364],1662555578.2352839,[7440.23928702],736,[7440.23928702]
[51.2757905],1662555578.2390866,[5691.97900134],528,[5691.97900134]
[84.11671347],1662555578.2429364,[7542.54669759],728,[7542.54669759]
[43.95067757],1662555578.2579958,[5149.55438896],480,[5149.55438896]
[42.85191063],1662555578.2641275,[4986.44854108],424,[4986.44854108]
[49.32242705],1662555578.270758,[5527.28604566],520,[5527.28604566]
[175.80271029],1662555578.2778978,[12648.2724942],1080,[12648.2724942]
[57.50213649],1662555578.2901702,[5842.99841289],568,[5842.99841289]
[37.96850201],1662555578.2955306,[4994.38408009],472,[4994.38408009]
[265.7795141],1662555578.3010902,[18274.81382005],1352,[18274.81382005]
[45.04944451],1662555578.3228822,[5117.20180686],408,[5117.20180686]
[138.44463435],1662555578.3292456,[10536.80869247],968,[10536.80869247]
[78.74496398],1662555578.3325324,[7334.87974606],688,[7334.87974606]
[62.14137468],1662555578.338783,[6189.35416921],656,[6189.35416921]
[60.18801123],1662555578.350785,[6391.40520083],616,[6391.40520083]
[51.2757905],1662555578.3688803,[5597.48504456],512,[5597.48504456]
[49.32242705],1662555578.3722389,[5451.47112685],488,[5451.47112685]
[67.87937981],1662555578.376058,[6248.19924307],584,[6248.19924307]
[63.48431205],1662555578.3844304,[6461.3600293],672,[6461.3600293]
[69.95482847],1662555578.3981903,[6504.82236601],608,[6504.82236601]
[151.99609327],1662555578.4050736,[11525.45476743],1016,[11525.45476743]
[42.36356977],1662555578.4309595,[5365.64522036],560,[5365.64522036]
[68.24563545],1662555578.4469612,[6886.09449396],672,[6886.09449396]
[45.41570016],1662555578.4548316,[5435.23379319],496,[5435.23379319]
[71.29776584],1662555578.459647,[7067.87937981],760,[7067.87937981]
[124.52691979],1662555578.4695182,[10033.9396899],944,[10033.9396899]
[51.51996093],1662555578.4914837,[5310.09644732],456,[5310.09644732]
[64.94933464],1662555578.4983876,[6601.26968624],632,[6601.26968624]
[185.20327188],1662555578.5024016,[13247.95507264],1000,[13247.95507264]
[48.71200098],1662555578.5175128,[5270.5408375],496,[5270.5408375]
[54.81626175],1662555578.5220332,[5897.57050421],560,[5897.57050421]
[39.55560982],1662555578.5494936,[5016.96984495],432,[5016.96984495]
[57.74630692],1662555578.5690937,[6159.80954706],640,[6159.80954706]
[105.11537053],1662555578.5783446,[8569.64961543],784,[8569.64961543]
[140.88633866],1662555578.5992067,[10492.98010011],912,[10492.98010011]
[47.61323404],1662555578.638143,[5590.15993163],544,[5590.15993163]
[146.01391771],1662555578.659215,[11307.53265779],1024,[11307.53265779]
[81.91917959],1662555578.66537,[7399.8290807],720,[7399.8290807]
[70.32108412],1662555578.6957507,[6729.33707728],672,[6729.33707728]
[61.16469296],1662555578.7098799,[6140.76425345],592,[6140.76425345]
[51.39787572],1662555578.734134,[5991.69820535],640,[5991.69820535]
[58.84507386],1662555578.745506,[6281.77267733],624,[6281.77267733]
[150.28690026],1662555578.753515,[10735.92967892],912,[10735.92967892]
[259.91942376],1662555578.7627888,[16809.54706385],1184,[16809.54706385]
[45.90404102],1662555578.7676287,[5571.35880845],560,[5571.35880845]
[56.7696252],1662555578.7713115,[6171.65181297],640,[6171.65181297]
[52.25247223],1662555578.80154,[6088.63386644],640,[6088.63386644]
[48.1015749],1662555578.808451,[5415.94432914],464,[5415.94432914]
[56.15919912],1662555578.8288083,[5756.92833598],592,[5756.92833598]
[68.00146502],1662555578.8463495,[6620.6812355],640,[6620.6812355]
[61.5309486],1662555578.870819,[6222.80551825],656,[6222.80551825]
[43.46233671],1662555578.91668,[5417.04309608],520,[5417.04309608]
[108.90001221],1662555578.9427454,[8888.0478574],848,[8888.0478574]
[63.1180564],1662555578.9520411,[6496.27640093],616,[6496.27640093]
[48.22366011],1662555578.9603763,[5301.91673788],464,[5301.91673788]
[51.39787572],1662555578.966143,[5674.52081553],568,[5674.52081553]
[53.71749481],1662555578.9855309,[5916.73788304],600,[5916.73788304]
[64.7051642],1662555578.991361,[6238.1882554],656,[6238.1882554]
[62.2634599],1662555579.0008047,[6495.17763399],656,[6495.17763399]
[48.46783055],1662555579.0228624,[5406.29959712],496,[5406.29959712]
[599.68257844],1662555579.0269737,[41448.29691124],1776,[41448.29691124]
[50.90953486],1662555579.0354295,[5695.15321695],544,[5695.15321695]
[86.43633256],1662555579.0415766,[7479.30655598],696,[7479.30655598]
[56.7696252],1662555579.0541272,[5986.69271151],584,[5986.69271151]
[397.38737639],1662555579.0738468,[25245.87962398],1440,[25245.87962398]
[87.65718471],1662555579.0833967,[7842.2659016],784,[7842.2659016]
[357.83176657],1662555579.09413,[22952.02051032],1304,[22952.02051032]
[212.1841045],1662555579.136595,[13896.47173727],1128,[13896.47173727]
[47.36906361],1662555579.1447551,[5365.52313515],504,[5365.52313515]
[80.94249786],1662555579.154439,[7439.87303138],768,[7439.87303138]
[93.51727506],1662555579.186462,[7748.38237089],752,[7748.38237089]
[42.24148456],1662555579.200733,[5197.65596386],512,[5197.65596386]
[59.08924429],1662555579.232751,[6157.7340984],592,[6157.7340984]
[65.55976071],1662555579.251453,[6492.49175925],576,[6492.49175925]
[44.194848],1662555579.2649999,[5197.77804908],472,[5197.77804908]
[45.90404102],1662555579.2855036,[5450.73861555],496,[5450.73861555]
[55.67085826],1662555579.2923493,[6240.99621536],632,[6240.99621536]
[92.41850812],1662555579.2963517,[8378.95250885],872,[8378.95250885]
[55.06043218],1662555579.303031,[6087.41301428],592,[6087.41301428]
[146.38017336],1662555579.312138,[10809.42497863],936,[10809.42497863]
[120.13185203],1662555579.3245723,[9646.80747161],872,[9646.80747161]
[37.35807594],1662555579.3318837,[4902.69808326],448,[4902.69808326]
[75.6928336],1662555579.3636816,[6960.5664754],712,[6960.5664754]
[53.35123916],1662555579.3671324,[6008.05762422],592,[6008.05762422]
[42.97399585],1662555579.372627,[5357.58759614],544,[5357.58759614]
[70.68733976],1662555579.3808134,[7080.20998657],704,[7080.20998657]
[130.1428397],1662555579.3868632,[10831.64448785],984,[10831.64448785]
[39.79978025],1662555579.4033542,[5225.61347821],504,[5225.61347821]
[94.00561592],1662555579.4145825,[7856.91612746],776,[7856.91612746]
[49.93285313],1662555579.4244876,[5738.61555366],552,[5738.61555366]
[79.35539006],1662555579.4301734,[7002.93004517],696,[7002.93004517]
[114.88218777],1662555579.4486196,[9264.68074716],896,[9264.68074716]
[57.74630692],1662555579.4548812,[6350.38456843],688,[6350.38456843]
[132.95079966],1662555579.4773927,[10874.98473935],1032,[10874.98473935]
[90.58722989],1662555579.498459,[7966.67073617],776,[7966.67073617]
[37.72433158],1662555579.5184886,[4924.55133683],448,[4924.55133683]
[172.99475034],1662555579.5436368,[12512.26956416],1016,[12512.26956416]
[143.69429862],1662555579.5473013,[11284.94689293],1016,[11284.94689293]
[67.39103895],1662555579.5506878,[6788.06006593],656,[6788.06006593]
[64.09473813],1662555579.5571294,[6606.03100964],720,[6606.03100964]
[50.05493835],1662555579.5604231,[5604.32181663],544,[5604.32181663]
[64.46099377],1662555579.5679905,[6257.35563423],584,[6257.35563423]
[85.82590648],1662555579.598178,[7794.65266756],800,[7794.65266756]
[51.2757905],1662555579.6026964,[5567.20791112],488,[5567.20791112]
[126.72445367],1662555579.6203246,[10060.55426688],928,[10060.55426688]
[75.44866317],1662555579.6330473,[7135.6366744],696,[7135.6366744]
[138.68880479],1662555579.6546388,[10359.90721524],936,[10359.90721524]
[62.62971554],1662555579.661434,[6444.51226956],640,[6444.51226956]
[50.90953486],1662555579.6730034,[5369.42986204],520,[5369.42986204]
[295.56830668],1662555579.6819892,[19180.31986326],1176,[19180.31986326]
[62.99597119],1662555579.6861796,[6513.97875717],648,[6513.97875717]
[65.92601636],1662555579.6933923,[6201.19643511],552,[6201.19643511]
[67.63520938],1662555579.7055051,[6539.25039678],632,[6539.25039678]
[40.16603589],1662555579.7222388,[5157.36784275],488,[5157.36784275]
[92.05225247],1662555579.7264233,[7837.13832255],744,[7837.13832255]
[73.00695886],1662555579.7300715,[6926.50470028],680,[6926.50470028]
[144.42680991],1662555579.7514834,[11183.86033451],952,[11183.86033451]
[108.16750092],1662555579.7981176,[8829.44695397],840,[8829.44695397]
[47.36906361],1662555579.8045983,[5796.72811622],600,[5796.72811622]
[61.04260774],1662555579.8185441,[6442.68099133],624,[6442.68099133]
[131.85203272],1662555579.839208,[10423.26944207],928,[10423.26944207]
[143.32804297],1662555579.8502944,[10826.63899402],976,[10826.63899402]
[40.28812111],1662555579.8584304,[5376.63288976],504,[5376.63288976]
[56.40336955],1662555579.9032617,[6296.5449884],656,[6296.5449884]
[138.07837871],1662555579.925573,[10416.67684043],888,[10416.67684043]
[158.34452448],1662555579.9351583,[11509.94994506],920,[11509.94994506]
[123.67232328],1662555579.946745,[9624.09962154],864,[9624.09962154]
[234.64778415],1662555579.9530103,[15648.51666463],1120,[15648.51666463]
[87.29092907],1662555579.959511,[8144.06055427],848,[8144.06055427]
[98.88902454],1662555579.9713953,[8551.94725919],832,[8551.94725919]
[67.63520938],1662555579.983028,[6656.81845928],680,[6656.81845928]
[1000.12208522],1662555579.9980614,[96178.73275546],3160,[96178.73275546]
[63.8505677],1662555580.0037372,[6225.61347821],584,[6225.61347821]
[49.32242705],1662555580.0081558,[5346.9661824],432,[5346.9661824]
[83.50628739],1662555580.0170348,[7508.72909291],768,[7508.72909291]
[43.3402515],1662555580.020537,[5391.64937126],528,[5391.64937126]
[43.3402515],1662555580.020537,[5391.64937126],528,[5391.64937126]
[50.29910878],1662555580.0371556,[5624.46587718],544,[5624.46587718]
[59.08924429],1662555580.0429168,[6123.91649371],616,[6123.91649371]
[197.77804908],1662555580.0659335,[13772.0669027],1008,[13772.0669027]
[192.4062996],1662555580.0732794,[13126.72445367],944,[13126.72445367]
[69.22231718],1662555580.100287,[6670.73617385],720,[6670.73617385]
[43.58442193],1662555580.1116445,[5389.45183738],512,[5389.45183738]
[1000.12208522],1662555580.1277812,[133355.7563179],4096,[133355.7563179]
[51.51996093],1662555580.1357188,[5557.44109388],544,[5557.44109388]
[70.80942498],1662555580.1487975,[6976.55963863],720,[6976.55963863]
[109.6325235],1662555580.157105,[8962.64192406],784,[8962.64192406]
[277.86595043],1662555580.1682987,[18709.92552802],1392,[18709.92552802]
[177.14564766],1662555580.1816692,[12439.14052008],1072,[12439.14052008]
[53.83958003],1662555580.1917307,[5511.65913808],520,[5511.65913808]
[57.86839214],1662555580.1961293,[6364.79062386],640,[6364.79062386]
[74.83823709],1662555580.2007887,[7248.56549872],768,[7248.56549872]
[1000.12208522],1662555580.2181427,[101205.71358808],3728,[101205.71358808]
[67.0247833],1662555580.2247891,[7031.13172995],768,[7031.13172995]
[40.28812111],1662555580.2545598,[4988.1577341],448,[4988.1577341]
[54.81626175],1662555580.2700152,[6050.05493835],576,[6050.05493835]
[56.15919912],1662555580.2732232,[5847.39348065],568,[5847.39348065]
[149.55438896],1662555580.2856252,[11095.47063851],968,[11095.47063851]
[52.61872787],1662555580.2955937,[5987.91356367],608,[5987.91356367]
[54.20583567],1662555580.3094714,[5835.1849591],536,[5835.1849591]
[98.88902454],1662555580.318279,[7917.59247955],704,[7917.59247955]
[106.94664876],1662555580.3311646,[9107.43498962],912,[9107.43498962]
[120.37602246],1662555580.3603535,[9566.84165548],936,[9566.84165548]
[56.28128434],1662555580.3769882,[6016.72567452],576,[6016.72567452]
[44.07276279],1662555580.386363,[5109.99877915],440,[5109.99877915]
[66.78061287],1662555580.397496,[6480.03906727],632,[6480.03906727]
[57.50213649],1662555580.400995,[6149.0660481],608,[6149.0660481]
[44.80527408],1662555580.4121795,[5168.23342693],480,[5168.23342693]
[43.58442193],1662555580.420656,[5614.45488951],584,[5614.45488951]
[74.22781101],1662555580.4288933,[7006.83677207],704,[7006.83677207]
[49.44451227],1662555580.457885,[5348.30911977],424,[5348.30911977]
[76.79160054],1662555580.476408,[7138.32254914],672,[7138.32254914]
[108.90001221],1662555580.490599,[8907.45940667],832,[8907.45940667]
[66.53644244],1662555580.4988377,[6716.76230009],632,[6716.76230009]
[50.66536442],1662555580.509957,[5850.44561104],632,[5850.44561104]
[68.97814675],1662555580.525676,[6609.57148089],640,[6609.57148089]
[37.72433158],1662555580.537973,[4902.45391283],432,[4902.45391283]
[38.33475766],1662555580.5493422,[5046.88072274],472,[5046.88072274]
[54.4500061],1662555580.5544264,[5957.88060066],560,[5957.88060066]
[55.79294347],1662555580.5841458,[6194.11549261],600,[6194.11549261]
[108.16750092],1662555580.591715,[8534.7332438],816,[8534.7332438]
[90.58722989],1662555580.604747,[7816.2617507],784,[7816.2617507]
[189.72042486],1662555580.6269538,[13529.48357954],1064,[13529.48357954]
[43.3402515],1662555580.6357734,[5291.66157978],520,[5291.66157978]
[74.47198144],1662555580.6407323,[7100.10987669],720,[7100.10987669]
[74.47198144],1662555580.6407323,[7100.10987669],720,[7100.10987669]
[155.41447931],1662555580.6456623,[11426.44365767],1016,[11426.44365767]
[109.87669393],1662555580.6521804,[9195.33634477],808,[9195.33634477]
[145.64766207],1662555580.657243,[10908.43608839],976,[10908.43608839]
[132.34037358],1662555580.6625948,[10582.8348187],960,[10582.8348187]
[79.23330485],1662555580.684854,[7647.05164205],800,[7647.05164205]
[45.04944451],1662555580.7073314,[5448.54108167],560,[5448.54108167]
[370.89488463],1662555580.743164,[24462.82505189],1456,[24462.82505189]
[46.75863753],1662555580.7568197,[5485.16664632],568,[5485.16664632]
[60.55426688],1662555580.7688708,[5891.71041387],544,[5891.71041387]
[117.69014772],1662555580.775222,[9693.44402393],960,[9693.44402393]
[61.28677817],1662555580.7852206,[6240.62995971],680,[6240.62995971]
[52.13038701],1662555580.7891662,[5660.60310096],544,[5660.60310096]
[99.13319497],1662555580.7929304,[8435.23379319],808,[8435.23379319]
[99.13319497],1662555580.7929304,[8435.23379319],808,[8435.23379319]
[139.54340129],1662555580.7993948,[10660.23684532],976,[10660.23684532]
[76.66951532],1662555580.806403,[6858.62532047],680,[6858.62532047]
[77.64619705],1662555580.8238058,[7051.39787572],680,[7051.39787572]
[237.57782932],1662555580.828933,[15665.85276523],1152,[15665.85276523]
[237.57782932],1662555580.828933,[15665.85276523],1152,[15665.85276523]
[42.48565499],1662555580.8322446,[5021.24282749],424,[5021.24282749]
[85.33756562],1662555580.8422,[7894.64045904],768,[7894.64045904]
[47.85740447],1662555580.865247,[5590.52618728],528,[5590.52618728]
[54.08375046],1662555580.8770368,[5952.02051032],576,[5952.02051032]
[165.30338176],1662555580.8893554,[11843.97509462],1000,[11843.97509462]
[45.29361494],1662555580.8940067,[5208.27737761],488,[5208.27737761]
[91.31974118],1662555580.9033632,[8094.73812721],792,[8094.73812721]
[150.77524112],1662555580.9100945,[11293.61494323],976,[11293.61494323]
[100.35404712],1662555580.9299293,[8988.03564888],888,[8988.03564888]
[218.16628006],1662555580.939393,[14762.17800024],1096,[14762.17800024]
[93.0289342],1662555580.9458852,[8056.15919912],784,[8056.15919912]
[39.31143938],1662555580.9527438,[5428.76327677],608,[5428.76327677]
[101.20864363],1662555580.9596283,[8069.71065804],768,[8069.71065804]
[85.45965084],1662555580.9727821,[7693.56610914],752,[7693.56610914]
[47.85740447],1662555580.9896562,[5536.80869247],504,[5536.80869247]
[46.27029667],1662555581.0018463,[5323.64790624],472,[5323.64790624]
[90.83140032],1662555581.0102737,[7772.79941399],760,[7772.79941399]
[103.16200708],1662555581.0251021,[8267.48870712],808,[8267.48870712]
[63.24014162],1662555581.0310812,[6174.82602857],560,[6174.82602857]
[64.7051642],1662555581.0416384,[6719.69234526],656,[6719.69234526]
[70.07691369],1662555581.0533586,[6990.72152362],744,[6990.72152362]
[72.15236235],1662555581.070381,[7030.52130387],696,[7030.52130387]
[37.23599072],1662555581.0820444,[4826.63899402],440,[4826.63899402]
[59.21132951],1662555581.085209,[6273.47088268],656,[6273.47088268]
[43.95067757],1662555581.0893087,[5410.0842388],552,[5410.0842388]
[105.35954096],1662555581.0937486,[8725.67452082],792,[8725.67452082]
[40.53229154],1662555581.0972433,[4931.99853498],440,[4931.99853498]
[55.06043218],1662555581.1062658,[6006.47051642],520,[6006.47051642]
[55.91502869],1662555581.1166747,[5697.9611769],568,[5697.9611769]
[54.81626175],1662555581.1416512,[5905.87229886],592,[5905.87229886]
[62.50763033],1662555581.1642895,[6409.47381272],664,[6409.47381272]
[62.50763033],1662555581.1642895,[6409.47381272],664,[6409.47381272]
[45.78195581],1662555581.1759384,[5127.09070931],488,[5127.09070931]
[172.38432426],1662555581.1982918,[12578.68392138],1024,[12578.68392138]
[71.41985106],1662555581.2063217,[6789.52508851],616,[6789.52508851]
[44.9273593],1662555581.2153542,[5345.62324502],472,[5345.62324502]
[64.82724942],1662555581.2234392,[6768.8926871],664,[6768.8926871]
[54.32792089],1662555581.2336593,[5761.0792333],560,[5761.0792333]
[994.62825052],1662555581.2374797,[83651.93505066],3240,[83651.93505066]
[42.97399585],1662555581.2487853,[4909.41277011],424,[4909.41277011]
[201.44060554],1662555581.2673929,[14051.64204615],1104,[14051.64204615]
[39.67769503],1662555581.2730765,[5082.52960566],496,[5082.52960566]
[80.20998657],1662555581.281053,[7128.06739104],744,[7128.06739104]
[53.22915395],1662555581.3266568,[6089.97680381],672,[6089.97680381]
[92.54059333],1662555581.3493838,[7867.90379685],728,[7867.90379685]
[70.44316933],1662555581.3604372,[6634.8431205],616,[6634.8431205]
[66.90269808],1662555581.367799,[6838.23708949],696,[6838.23708949]
[48.22366011],1662555581.3797283,[5567.20791112],560,[5567.20791112]
[42.36356977],1662555581.399124,[5076.05908924],416,[5076.05908924]
[40.04395068],1662555581.4024093,[5407.27627884],560,[5407.27627884]
[42.48565499],1662555581.4086115,[5181.4186302],464,[5181.4186302]
[51.51996093],1662555581.4135075,[5653.40007325],560,[5653.40007325]
[65.68184593],1662555581.4268808,[6374.67952631],656,[6374.67952631]
[40.41020632],1662555581.4327068,[4951.16591381],424,[4951.16591381]
[88.02344036],1662555581.4367676,[7717.61689659],720,[7717.61689659]
[44.07276279],1662555581.4474664,[5235.62446588],464,[5235.62446588]
[345.13490416],1662555581.4545636,[22575.14345013],1504,[22575.14345013]
[58.72298865],1662555581.4595249,[6329.6300818],664,[6329.6300818]
[76.91368575],1662555581.4670541,[7026.12623611],688,[7026.12623611]
[47.00280796],1662555581.48812,[5219.14296179],440,[5219.14296179]
[69.46648761],1662555581.5011313,[6851.30020754],696,[6851.30020754]
[74.1057258],1662555581.5115275,[7413.74679526],752,[7413.74679526]
[47.85740447],1662555581.5253663,[5424.36820901],504,[5424.36820901]
[79.47747528],1662555581.5287924,[7040.04395068],664,[7040.04395068]
[70.07691369],1662555581.5340667,[6808.93663777],696,[6808.93663777]
[47.73531925],1662555581.5430298,[5478.6961299],488,[5478.6961299]
[85.58173605],1662555581.547652,[7907.33732145],776,[7907.33732145]
[75.57074838],1662555581.561109,[7214.74789403],696,[7214.74789403]
[52.8628983],1662555581.567399,[5789.15883287],560,[5789.15883287]
[40.16603589],1662555581.5806243,[4761.93382981],408,[4761.93382981]
[91.68599683],1662555581.5963268,[7841.77756074],760,[7841.77756074]
[70.32108412],1662555581.609765,[6989.37858625],688,[6989.37858625]
[46.75863753],1662555581.6241486,[5357.83176657],480,[5357.83176657]
[60.43218166],1662555581.635145,[6239.65327799],664,[6239.65327799]
[385.91136613],1662555581.6478367,[24465.14467098],1424,[24465.14467098]
[44.9273593],1662555581.674367,[5506.65364424],552,[5506.65364424]
[46.75863753],1662555581.681504,[5347.8207789],520,[5347.8207789]
[78.98913442],1662555581.711174,[6899.64595287],632,[6899.64595287]
[72.88487364],1662555581.7596412,[6703.21084117],664,[6703.21084117]
[65.07141985],1662555581.7656105,[6497.00891222],656,[6497.00891222]
[42.36356977],1662555581.773726,[4936.51568795],448,[4936.51568795]
[42.48565499],1662555581.78017,[5286.90025638],504,[5286.90025638]
[43.70650714],1662555581.8020153,[5195.09217434],480,[5195.09217434]
[135.88084483],1662555581.8253539,[10235.86863631],976,[10235.86863631]
[48.46783055],1662555581.8323317,[5276.76718349],472,[5276.76718349]
[96.56940544],1662555581.8384101,[7939.93407398],776,[7939.93407398]
[61.5309486],1662555581.8452861,[5971.79831522],568,[5971.79831522]
[49.93285313],1662555581.852347,[5611.03650348],552,[5611.03650348]
[143.32804297],1662555581.8635533,[10738.12721279],952,[10738.12721279]
[123.91649371],1662555581.8847249,[10085.33756562],896,[10085.33756562]
[62.99597119],1662555581.896334,[6569.77170065],648,[6569.77170065]
[97.05774631],1662555581.8995426,[8298.49835185],840,[8298.49835185]
[78.74496398],1662555581.916101,[6939.32364791],664,[6939.32364791]
[59.08924429],1662555581.9455116,[6100.9644732],592,[6100.9644732]
[71.05359541],1662555581.9581304,[6336.34476865],600,[6336.34476865]
[43.58442193],1662555581.9691846,[5352.94835795],496,[5352.94835795]
[112.19631303],1662555581.9727547,[8897.08216335],824,[8897.08216335]
[46.27029667],1662555581.984447,[5299.96337444],504,[5299.96337444]
[93.63936027],1662555581.9929407,[8317.17738982],816,[8317.17738982]
[69.95482847],1662555582.008277,[6567.8183372],656,[6567.8183372]
[105.48162618],1662555582.0161672,[8901.84348675],896,[8901.84348675]
[406.54376755],1662555582.030952,[26141.9851056],1400,[26141.9851056]
[57.38005128],1662555582.0393164,[5797.3385423],552,[5797.3385423]
[97.17983152],1662555582.0444832,[8206.93444024],704,[8206.93444024]
[62.99597119],1662555582.0894992,[6379.92919057],608,[6379.92919057]
[97.91234282],1662555582.0956364,[8260.89610548],800,[8260.89610548]
[68.12355024],1662555582.0992193,[6282.87144427],616,[6282.87144427]
[73.49529972],1662555582.1160269,[6796.72811622],632,[6796.72811622]
[342.08277378],1662555582.1537046,[22254.79184471],1312,[22254.79184471]
[74.22781101],1662555582.1637692,[6877.91478452],664,[6877.91478452]
[141.74093517],1662555582.1727989,[10911.24404835],936,[10911.24404835]
[50.54327921],1662555582.1780727,[5594.43291417],512,[5594.43291417]
[248.80966915],1662555582.1899312,[16576.36430228],1176,[16576.36430228]
[72.76278843],1662555582.2089193,[7119.27725552],704,[7119.27725552]
[118.05640337],1662555582.223041,[9108.41167135],856,[9108.41167135]
[48.58991576],1662555582.2347085,[5350.140398],432,[5350.140398]
[465.75509706],1662555582.2462418,[31008.30179465],1664,[31008.30179465]
[46.5144671],1662555582.2495222,[5587.35197168],584,[5587.35197168]
[58.23464778],1662555582.2636883,[6127.57905018],568,[6127.57905018]
[49.6886827],1662555582.2674382,[5847.63765108],576,[5847.63765108]
[128.67781712],1662555582.2770288,[10094.12770113],944,[10094.12770113]
[57.99047735],1662555582.3020895,[6453.18031986],680,[6453.18031986]
[56.7696252],1662555582.3188508,[6160.17580271],624,[6160.17580271]
[145.28140642],1662555582.322572,[11062.87388597],952,[11062.87388597]
[105.48162618],1662555582.326197,[8512.39164937],808,[8512.39164937]
[118.3005738],1662555582.3358772,[9675.98583811],960,[9675.98583811]
[40.65437675],1662555582.3422978,[4919.91209864],416,[4919.91209864]
[47.49114882],1662555582.3521516,[5390.30643389],536,[5390.30643389]
[37.72433158],1662555582.370329,[5216.70125748],528,[5216.70125748]
[47.85740447],1662555582.374538,[5584.29984129],520,[5584.29984129]
[79.59956049],1662555582.3842292,[7294.22536931],768,[7294.22536931]
[71.54193627],1662555582.3914475,[6952.99719204],672,[6952.99719204]
[57.13588084],1662555582.396075,[6294.22536931],664,[6294.22536931]
[121.35270419],1662555582.404199,[9623.8554511],920,[9623.8554511]
[44.80527408],1662555582.4495974,[5178.36649982],480,[5178.36649982]
[110.73129044],1662555582.4722571,[9152.60651935],888,[9152.60651935]
[692.71151264],1662555582.5039978,[49981.32096203],2288,[49981.32096203]
[40.89854719],1662555582.5075037,[5042.6077402],472,[5042.6077402]
[380.41753144],1662555582.5141017,[25044.80527408],1592,[25044.80527408]
[131.36369186],1662555582.534006,[10455.98827982],864,[10455.98827982]
[119.64351117],1662555582.5525267,[9585.88694909],944,[9585.88694909]
[39.55560982],1662555582.5710466,[5141.9851056],512,[5141.9851056]
[41.14271762],1662555582.6143868,[5234.89195458],472,[5234.89195458]
[184.59284581],1662555582.624664,[13143.81638384],1024,[13143.81638384]
[55.42668783],1662555582.6353762,[6122.93981199],616,[6122.93981199]
[56.15919912],1662555582.6435447,[6178.48858503],648,[6178.48858503]
[43.58442193],1662555582.68413,[4777.43865218],408,[4777.43865218]
[48.58991576],1662555582.6946378,[5427.4203394],544,[5427.4203394]
[52.8628983],1662555582.7120564,[5564.52203638],520,[5564.52203638]
[46.02612624],1662555582.7182107,[5299.96337444],464,[5299.96337444]
[153.09486021],1662555582.728188,[10979.24551337],992,[10979.24551337]
[37.11390551],1662555582.7405744,[4824.19728971],408,[4824.19728971]
[151.14149676],1662555582.7445889,[11379.3187645],1008,[11379.3187645]
[73.12904407],1662555582.7660174,[7228.90977903],728,[7228.90977903]
[77.89036748],1662555582.7718396,[7311.68355512],744,[7311.68355512]
[99.74362105],1662555582.7972827,[8541.44793066],824,[8541.44793066]
[62.99597119],1662555582.8136199,[6406.54376755],600,[6406.54376755]
[62.75180076],1662555582.8269742,[6405.44500061],648,[6405.44500061]
[78.13453791],1662555582.8326778,[7109.99877915],736,[7109.99877915]
[165.79172262],1662555582.8371155,[11042.97399585],840,[11042.97399585]
